0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_51,C9-Patient_66,C9-Patient_67,C9-Patient_68,C9-Patient_69,C9-Patient_70,C9-Patient_71,C9-Patient_72,C9-Patient_73,C9-Patient_74,C9-Patient_75
chr12_12016286,0.37,0.82,0.66,0.92,0.42,0.0,0.0,0.0,0.2,0.0,0.0,0.36,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.63,0.41000000000000003,0.81,0.5,0.52,0.84,0.49,0.88,0.43,0.84,0.38,0.83
chr12_49668842,0.75,0.71,0.84,0.9,0.72,0.72,0.73,0.66,0.43,0.75,0.7035714285714285,0.93,1.0,0.86,0.81,0.7035714285714285,0.73,0.7035714285714285,0.83,0.73,0.69,0.61,0.69,0.61,0.58,0.57,0.45,0.56,0.6,0.62,0.62
chr1_148329338,0.63,0.5258620689655171,0.56,0.69,0.64,0.73,0.75,0.78,0.5,0.42,0.23,0.8,0.55,0.15,0.47,0.6,0.58,0.85,0.5258620689655171,0.86,0.69,0.25,0.4,0.39,0.51,0.33,0.42,0.44,0.34,0.28,0.41
chr10_71344513,0.64,0.56,0.62,0.66,0.58,0.65,0.58,0.6,0.62,0.57,0.66,0.72,0.72,0.63,0.54,0.6,0.61,0.74,0.59,0.88,0.68,0.5,0.44,0.56,0.54,0.5,0.38,0.49,0.54,0.48,0.44
chr15_41836959,0.45,0.91,0.4,0.33,0.0,0.34,0.0,0.78,0.33,0.45,0.41,0.42,0.0,0.35,0.83,0.46,0.83,0.41,0.0,0.5,0.42,0.81,0.91,0.83,0.84,0.46,0.81,0.86,0.81,0.37,0.8
chr9_2933833,0.78,0.72,0.64,0.79,0.66,0.71,0.84,0.66,0.74,0.8,0.64,0.66,0.79,0.7,0.77,0.72,0.72,0.6,0.76,0.76,0.56,0.53,0.56,0.55,0.55,0.55,0.56,0.61,0.59,0.62,0.5
chr1_200863667,0.84,0.76,0.7,0.78,0.6,0.73,0.63,0.62,0.85,0.81,0.75,0.63,0.76,0.77,0.78,0.5,0.61,0.52,0.9,0.75,0.57,0.45,0.62,0.53,0.48,0.52,0.44,0.5,0.55,0.54,0.36
chr2_215999758,0.61,0.72,0.45,0.76,0.5971428571428572,0.66,0.61,0.54,0.63,0.92,0.62,0.75,0.76,0.7,0.8,0.66,0.6,0.5971428571428572,0.6,0.5971428571428572,0.63,0.48,0.51,0.4,0.34,0.46,0.37,0.54,0.57,0.43,0.6
chr9_134338081,0.71,0.61,0.51,0.73,0.65,0.58,0.7,0.44,0.59,0.82,0.66,0.81,0.75,0.78,0.63,0.43,0.59,0.65,0.64,0.72,0.73,0.32,0.56,0.57,0.5,0.57,0.47,0.5,0.46,0.42,0.43
chr11_5059711,0.75,0.84,0.85,0.81,0.82,0.88,0.86,0.85,0.84,0.96,0.75,0.86,0.84,0.89,0.83,0.85,0.84,0.72,0.77,0.9,0.91,0.62,0.69,0.71,0.69,0.68,0.75,0.66,0.7,0.65,0.68
chr20_20017078,0.07,0.0,0.09,0.08,0.06,0.07,0.05,0.06,0.1,0.12,0.09,0.02,0.08,0.02,0.07,0.03,0.03,0.0,0.08,0.11,0.05,0.29,0.26,0.18,0.18,0.19,0.14,0.23,0.12,0.22,0.14
chr8_22226875,0.85,0.69,0.76,0.84,0.82,0.82,0.85,0.9,0.84,0.87,0.78,0.88,0.9,0.77,0.83,0.85,0.9,0.94,0.82,0.9,0.83,0.65,0.68,0.72,0.72,0.72,0.74,0.73,0.71,0.69,0.7
chr4_48602753,0.79,0.8,0.83,0.78,0.66,0.94,0.94,0.76,0.7,0.76,0.81,0.7616666666666668,0.78,0.8,0.66,0.85,0.92,0.9,0.85,1.0,0.86,0.51,0.73,0.6,0.69,0.71,0.72,0.69,0.63,0.72,0.46
chr17_52861610,0.77,0.7,0.55,0.46,0.88,0.78,0.86,0.76,0.83,0.56,0.65,0.45,0.32,0.0,0.29,0.82,0.81,0.87,0.89,0.8,0.35,0.41,0.31,0.0,0.43,0.38,0.44,0.43,0.01,0.77,0.43
chr1_158176034,0.8,0.72,0.8,0.79,0.6892857142857142,0.84,0.4,0.7,0.6892857142857142,0.8,0.6892857142857142,1.0,0.78,0.77,0.46,0.84,0.83,0.72,0.76,0.68,0.83,0.68,0.53,0.45,0.53,0.6,0.58,0.64,0.65,0.5,0.62
chr19_4912424,0.82,0.73,0.8,0.82,0.73,0.73,0.83,0.8,0.58,0.79,0.82,0.8,0.85,0.72,0.7,0.84,0.87,0.72,0.67,0.87,0.72,0.49,0.53,0.54,0.56,0.57,0.58,0.68,0.7,0.7,0.64
chr19_1954459,0.78,0.92,0.75,0.87,0.92,0.87,0.88,0.89,0.92,0.92,0.89,0.85,0.89,0.96,0.93,0.97,0.72,0.94,0.87,0.97,0.81,0.78,0.71,0.68,0.68,0.71,0.67,0.75,0.72,0.72,0.67
chr14_102761426,0.58,0.32,0.4,0.4,0.46,0.51,0.66,0.48,0.39,0.64,0.5,0.68,0.6,0.41,0.58,0.47,0.39,0.4,0.59,0.6,0.42,0.36,0.32,0.24,0.44,0.35,0.35,0.31,0.36,0.28,0.19
chr21_37062733,0.76,0.59,0.66,0.69,0.51,0.62,0.66,0.65,0.31,0.62,0.6,0.82,0.79,0.55,0.72,0.7,0.85,0.68,0.75,0.85,0.46,0.45,0.42,0.54,0.36,0.53,0.5,0.56,0.33,0.5,0.45
chr1_170545087,0.91,0.82,0.5851851851851854,0.41,0.93,0.77,0.31,1.0,0.85,0.5851851851851854,0.75,0.36,0.84,0.93,0.5851851851851854,0.4,0.9,0.5851851851851854,0.84,0.0,0.82,0.47,0.38,0.33,0.0,0.47,0.81,0.46,0.47,0.55,0.02
chr18_79941832,0.82,0.91,0.85,0.9,0.94,0.86,0.9,0.84,0.86,0.92,0.85,0.93,0.92,0.86,0.82,0.85,0.88,0.85,0.77,0.95,0.87,0.56,0.76,0.77,0.77,0.78,0.74,0.81,0.76,0.74,0.73
chr3_72995662,0.7,0.72,0.7,0.76,0.74,0.62,0.94,0.69,0.82,0.66,0.69,0.75,0.63,0.72,0.6,0.8,0.82,0.64,0.88,0.73,0.74,0.88,0.87,0.89,0.91,0.86,0.87,0.88,0.92,0.85,0.88
chr13_111683856,0.71,0.86,0.66,0.9,0.91,0.89,0.87,0.83,0.96,0.97,0.83,0.8,0.9,0.81,0.85,0.88,0.82,0.82,0.8,0.93,0.85,0.66,0.69,0.75,0.7,0.67,0.74,0.72,0.7,0.72,0.65
chr16_87982466,0.0,0.7,0.25,0.66,0.75,0.94,0.5492857142857143,0.0,0.69,0.96,0.5492857142857143,0.74,0.8,0.94,0.88,0.95,0.5492857142857143,0.66,0.0,0.71,0.9,0.0,0.63,0.0,0.0,0.0,0.64,0.67,0.62,0.63,0.66
chr7_80884916,0.92,0.79,0.91,0.87,0.86,0.9,0.81,0.8,0.93,1.0,0.9,0.86,0.92,0.88,0.8,0.9,0.85,0.9,0.8,0.86,0.9,0.78,0.72,0.79,0.76,0.73,0.74,0.74,0.78,0.74,0.65
chr13_21054665,0.77,0.84,0.85,0.78,0.81,0.82,0.93,0.84,0.85,0.89,0.81,0.9,0.91,0.79,0.8,0.9,0.72,0.8,0.77,0.93,0.87,0.61,0.75,0.65,0.72,0.71,0.76,0.7,0.76,0.71,0.69
chr8_52194316,0.53,0.59,0.58,0.54,0.46,0.57,0.52,0.45,0.58,0.6,0.61,0.56,0.71,0.47,0.75,0.69,0.4,0.72,0.59,0.78,0.57,0.3,0.38,0.47,0.47,0.46,0.3,0.41,0.45,0.39,0.28
chr3_196140154,0.74,0.69,0.57,0.77,0.76,0.82,0.88,0.68,0.8,0.72,0.92,0.8,0.61,0.81,0.78,0.83,0.92,0.82,0.68,0.86,0.66,0.54,0.67,0.59,0.52,0.7,0.53,0.43,0.46,0.52,0.37
chr13_46462526,0.82,0.8,0.73,0.88,0.9,0.91,0.9,0.96,0.8506896551724136,0.94,1.0,1.0,1.0,0.94,0.8506896551724136,1.0,0.94,0.8,1.0,1.0,0.8,0.74,0.75,0.7,0.58,0.75,0.7,0.77,0.76,0.83,0.77
chr10_104252987,0.85,0.79,0.79,0.96,1.0,0.66,0.77,0.95,0.84,0.84,0.8,0.95,0.9,0.82,1.0,0.91,0.71,0.75,0.72,0.92,0.7,0.69,0.61,0.51,0.58,0.69,0.69,0.69,0.83,0.68,0.66
chr7_147098364,0.82,0.65,0.73,0.72,0.81,0.8,0.87,0.9,0.73,0.83,0.89,0.87,1.0,0.82,0.81,0.96,0.69,0.89,0.64,0.96,0.84,0.57,0.67,0.61,0.61,0.72,0.58,0.61,0.68,0.66,0.57
chr11_56613648,0.84,0.95,0.82,0.78,0.86,0.81,0.68,0.61,0.85,0.72,0.77,0.81,0.73,0.83,0.76,0.76,0.8,0.9,0.95,0.77,0.59,0.52,0.59,0.67,0.6,0.64,0.61,0.6,0.63,0.67,0.68
chr11_61202818,0.35,0.47,0.39,0.6,0.5,0.4,0.47,0.39,0.38,0.74,0.32,0.37,0.5,0.31,0.36,0.48,0.41,0.43,0.37,0.4,0.36,0.24,0.25,0.26,0.4,0.12,0.31,0.27,0.19,0.18,0.31
chr10_124008516,0.78,0.89,0.36,0.8,0.8,0.96,0.28,0.85,0.51,0.75,0.81,0.86,0.4,0.87,0.81,0.0,0.75,0.31,0.32,0.51,0.79,0.88,0.9,0.85,0.82,0.87,0.86,0.88,0.82,0.84,0.86
chr10_365721,0.65,0.84,0.73,0.83,0.85,0.93,0.95,0.9,0.77,0.92,0.84,0.87,0.85,0.92,0.86,0.87,0.75,0.81,0.81,1.0,0.8,0.56,0.67,0.7,0.73,0.75,0.67,0.64,0.71,0.64,0.7
chr10_627989,0.78,0.84,0.82,0.9,0.86,0.91,0.82,0.93,0.8,0.92,0.76,0.91,1.0,0.91,0.83,0.91,0.8,0.79,0.89,0.91,0.87,0.76,0.73,0.76,0.72,0.76,0.7,0.75,0.71,0.73,0.73
chr1_22864632,0.96,0.87,0.95,0.96,0.95,0.88,0.84,0.87,0.9,0.73,0.88,0.86,0.91,0.76,0.84,0.85,0.89,0.75,0.79,0.88,0.84,0.72,0.75,0.75,0.73,0.74,0.69,0.69,0.71,0.7,0.69
chr16_3938837,0.43,0.57,0.08,0.5,0.47,0.26,0.52,0.54,0.42,0.33,0.36,0.43,0.5,0.47,0.41,0.64,0.3,0.66,0.08,0.23,0.4,0.13,0.22,0.28,0.21,0.08,0.18,0.22,0.09,0.3,0.2
chr17_21512319,0.4,0.39,0.47,0.47,0.33,0.4,0.45,0.38,0.48,0.55,0.51,0.25,0.42,0.48,0.31,0.52,0.37,0.53,0.54,0.44,0.38,0.35,0.17,0.25,0.3,0.18,0.25,0.35,0.27,0.18,0.34
chr3_186080285,0.71,0.64,0.47,0.6,0.39,0.45,0.55,0.43,0.4,0.54,0.55,0.6,0.69,0.39,0.5,0.54,0.55,0.51,0.51,0.69,0.57,0.32,0.36,0.41,0.44,0.46,0.29,0.39,0.22,0.15,0.15
chr17_82268406,0.87,0.72,0.77,0.78,0.69,0.87,0.73,0.73,0.72,0.83,0.69,0.81,0.85,0.67,0.86,0.7,0.68,0.74,0.87,0.8,0.82,0.6,0.61,0.6,0.73,0.62,0.61,0.65,0.61,0.54,0.64
chr2_119433777,0.85,0.91,0.73,0.94,0.86,0.76,0.81,0.81,0.82,0.9,0.75,0.81,0.86,0.75,0.86,0.84,0.85,0.95,0.8,0.93,0.71,0.56,0.64,0.75,0.74,0.57,0.61,0.68,0.6,0.68,0.6
chr3_52835247,0.57,0.68,0.75,0.81,0.73,0.82,0.69,0.1,0.65,0.48,0.0,0.62,0.84,0.64,0.0,0.81,0.66,0.76,0.47566666666666674,0.6,0.88,0.0,0.02,0.0,0.0,0.85,0.02,0.0,0.0,0.48,0.81
chr11_59617160,0.68,0.79,0.72,0.86,0.9,1.0,0.78,0.91,0.8142857142857143,0.92,0.93,1.0,1.0,0.8142857142857143,0.85,0.92,1.0,0.71,0.8142857142857143,1.0,0.91,0.78,0.67,0.74,0.64,0.72,0.62,0.69,0.72,0.75,0.59
chr6_106303549,0.95,0.88,0.82,0.94,0.9,1.0,0.73,0.73,0.7886206896551724,1.0,0.83,0.88,0.95,0.66,0.95,0.7886206896551724,0.85,0.84,0.78,0.82,0.72,0.73,0.5,0.68,0.66,0.75,0.74,0.73,0.7,0.44,0.71
chr2_36919681,1.0,0.93,0.92,0.96,1.0,0.94,0.94,0.83,1.0,1.0,0.94,0.8825000000000001,0.92,0.86,0.95,0.8825000000000001,0.8825000000000001,0.85,1.0,1.0,0.92,0.87,0.87,0.9,0.38,0.82,0.9,0.89,0.85,0.41,0.86
chr9_136459975,0.83,0.75,0.83,0.67,0.58,0.79,0.71,0.8,0.6,0.6,0.63,0.64,0.75,0.72,0.82,0.73,0.66,0.7,0.5,0.87,0.73,0.59,0.52,0.44,0.5,0.54,0.6,0.62,0.52,0.5,0.37
chr2_132603719,0.82,0.74,0.7,0.8,0.71,0.9,0.71,0.93,0.75,0.83,0.77,0.92,0.83,0.82,0.7,0.82,0.75,0.84,0.6,0.81,0.87,0.63,0.69,0.63,0.58,0.66,0.6,0.71,0.67,0.58,0.43
chr14_83318583,0.78,0.78,0.86,0.87,0.85,0.9,0.84,0.75,0.86,0.82,0.85,1.0,0.81,0.89,0.95,0.8,0.91,0.81,0.76,0.94,0.69,0.7,0.68,0.71,0.74,0.77,0.65,0.7,0.68,0.57,0.57
chr16_17804197,0.86,0.56,0.56,0.74,0.57,0.53,0.56,0.5,0.78,0.83,0.58,0.65,0.6,0.5,0.69,0.64,0.73,0.63,0.57,0.63,0.6,0.53,0.54,0.54,0.43,0.55,0.44,0.51,0.46,0.42,0.25
chr8_20789811,0.85,0.58,0.56,0.64,0.14,0.84,0.62,0.0,0.47,0.46,0.61,0.47,0.46,0.85,0.41925925925925916,0.7,0.41925925925925916,0.41925925925925916,0.41925925925925916,0.42,0.5,0.56,0.02,0.0,0.4,0.02,0.42,0.04,0.0,0.65,0.04
chr14_102761422,0.46,0.19,0.32,0.29,0.41,0.41,0.46,0.34,0.4,0.41,0.43,0.65,0.52,0.23,0.48,0.34,0.32,0.45,0.36,0.47,0.41,0.2,0.27,0.14,0.25,0.36,0.2,0.13,0.22,0.13,0.08
chr5_168763810,0.82,0.78,0.79,0.81,0.84,0.78,0.9,0.88,0.9,0.86,0.88,0.92,0.82,0.79,0.84,0.8,0.9,0.94,0.8,0.83,0.87,0.7,0.78,0.68,0.69,0.72,0.7,0.7,0.68,0.64,0.7
chr10_566483,0.72,0.9,0.86,0.79,0.96,0.83,0.92,0.93,0.84,0.82,0.94,0.92,1.0,0.84,0.84,0.97,0.75,0.76,0.92,0.93,0.91,0.7,0.69,0.75,0.71,0.78,0.73,0.73,0.74,0.7,0.55
chr5_115995162,0.77,0.7,0.65,0.91,0.75,0.6,0.86,0.62,0.71,0.77,0.76,0.73,0.86,0.73,0.68,1.0,0.6956666666666668,0.92,0.76,0.85,0.54,0.59,0.51,0.55,0.67,0.62,0.45,0.61,0.6,0.66,0.44
chr5_64206982,0.7,0.78,0.7,0.6,0.76,0.59,0.73,0.84,0.7,0.73,0.66,0.62,0.88,0.6,0.86,0.88,0.73,0.78,0.65,0.83,0.55,0.61,0.6,0.6,0.56,0.52,0.48,0.52,0.47,0.5,0.48
chr3_48632540,0.94,0.95,0.78,0.8,0.89,0.82,0.92,0.91,0.75,0.89,0.92,0.93,0.93,0.88,0.75,0.92,0.83,0.82,0.75,0.8,0.87,0.73,0.72,0.69,0.72,0.68,0.73,0.7,0.72,0.66,0.76
chr14_56178547,0.9,0.72,0.72,0.85,0.54,0.86,0.82,0.9,0.8,0.72,0.7,0.72,0.93,0.72,0.81,1.0,0.84,0.7210000000000002,0.93,1.0,0.76,0.35,0.37,0.51,0.71,0.46,0.52,0.37,0.86,0.86,0.38
chr12_122661317,0.84,0.5,0.53,0.46,0.44629629629629625,0.84,0.94,0.87,0.44629629629629625,0.92,0.27,0.31,0.91,0.66,1.0,0.41,0.41,0.0,0.0,0.44629629629629625,0.44629629629629625,0.0,0.0,0.43,0.4,0.0,0.8,0.0,0.27,0.0,0.28
chr10_112836102,0.8,0.9,0.82,0.75,0.72,0.82,0.85,0.76,0.9,0.86,0.78,0.91,0.88,0.83,0.84,0.86,0.95,0.75,0.8,0.87,0.91,0.42,0.76,0.55,0.57,0.75,0.74,0.67,0.57,0.74,0.72
chr10_121690863,0.83,0.61,0.8,0.71,0.55,0.93,0.69,0.8,0.66,1.0,0.75,0.73,0.81,0.87,0.91,0.7000000000000001,0.7000000000000001,0.8,0.92,0.7,0.72,0.53,0.53,0.5,0.62,0.62,0.41,0.37,0.68,0.54,0.71
chr6_167212381,0.77,0.53,0.5,0.47,0.35,0.95,0.76,0.51,0.66,0.0,0.9,0.44,0.88,0.0,0.81,0.0,0.0,0.84,0.57,0.73,0.53,0.37,0.0,0.41,0.0,0.4,0.48,0.0,0.48,0.0,0.31
chr7_1045325,0.65,0.68,0.55,0.73,0.8,0.73,0.8,0.75,0.69,0.76,0.64,0.81,0.81,0.85,0.81,0.73,0.69,0.81,0.73,0.82,0.85,0.43,0.67,0.64,0.5,0.64,0.65,0.63,0.54,0.55,0.58
chr10_50242787,0.87,0.95,0.7,0.76,0.94,0.92,0.92,0.8,1.0,0.9,0.94,0.58,0.96,0.96,0.92,1.0,0.93,0.93,0.91,0.97,0.95,0.9,0.49,0.0,0.88,0.4,0.82,0.88,0.04,0.91,0.76
chr1_91751415,0.84,0.86,0.78,0.9,0.9,0.89,0.84,0.96,0.88,1.0,0.87,0.87,1.0,0.85,0.95,0.86,0.88,0.83,0.86,0.87,0.84,0.73,0.65,0.45,0.0,0.85,0.85,0.83,0.72,0.51,0.77
chr20_61544541,0.49,0.92,0.45,0.89,0.27,0.93,0.87,0.87,0.56,0.44,0.87,0.89,0.95,0.9,0.0,0.9,0.53,0.85,0.81,0.5,0.92,0.41,0.43,0.44,0.39,0.92,0.44,0.83,0.0,0.0,0.0
chr1_167923397,0.6,0.6,0.65,0.74,0.61,0.74,0.5,0.82,0.6,0.62,0.5,0.8,0.79,0.75,0.5,0.63,0.5,0.62,0.52,0.77,0.5,0.38,0.51,0.4,0.42,0.66,0.42,0.44,0.41,0.37,0.37
chr16_85152053,0.72,0.78,0.8,0.81,0.0,0.64,0.86,0.72,0.86,0.9,0.65,0.82,0.84,0.74,0.67,0.82,0.88,0.59,0.78,0.75,0.7,0.45,0.58,0.51,0.45,0.48,0.0,0.51,0.52,0.71,0.78
chr13_112520990,0.89,0.86,0.75,0.89,0.93,0.95,0.88,0.9,0.83,0.88,0.95,0.89,0.9,0.89,1.0,0.83,0.96,0.84,0.87,0.97,0.91,0.73,0.65,0.7,0.75,0.73,0.85,0.8,0.71,0.74,0.58
chr16_68697720,0.96,0.94,0.75,0.85,0.92,0.95,0.88,0.81,0.95,0.88,0.89,1.0,1.0,0.88,0.87,0.88,0.89,0.79,0.9,0.95,0.92,0.67,0.8,0.77,0.69,0.73,0.66,0.82,0.79,0.79,0.63
chr3_81713309,0.88,0.78,0.91,0.89,0.87,0.91,0.9,0.9,0.97,0.91,0.93,0.87,0.88,0.88,0.87,0.91,0.92,0.7,0.92,0.91,0.88,0.69,0.77,0.75,0.68,0.75,0.79,0.76,0.82,0.79,0.62
chr9_42806998,0.41,0.5,0.53,0.41,0.66,0.35,0.76,0.55,0.2,0.38214285714285706,0.0,0.35,0.54,0.66,0.5,0.46,0.38214285714285706,0.38214285714285706,0.6,0.66,0.1,0.36,0.37,0.17,0.35,0.07,0.17,0.35,0.32,0.16,0.14
chr12_122837868,0.93,0.96,0.89,0.87,0.9,0.95,0.94,0.93,0.92,0.91,0.92,0.97,0.81,1.0,0.86,0.94,0.84,0.76,0.88,0.91,0.76,0.0,0.58,0.85,0.76,0.85,0.88,0.81,0.78,0.04,0.83
chr8_25384125,0.52,0.0,0.75,0.34,0.61,0.0,0.76,0.31,0.47,0.28,0.73,0.5,0.75,0.31,0.46,0.45,0.61,0.37799999999999995,0.23,0.76,0.45,0.0,0.27,0.19,0.12,0.29,0.18,0.14,0.36,0.22,0.28
chr6_167221742,0.63,0.0,0.45,0.61,0.61,0.9,0.92,0.53,0.71,0.4825,0.92,0.57,0.76,0.0,0.94,0.0,0.4825,0.4825,0.5,0.86,0.6,0.56,0.0,0.57,0.03,0.4,0.46,0.0,0.45,0.0,0.53
chr19_48499174,0.8,0.8,0.58,0.3,0.89,0.51,0.78,0.33,0.5,0.5203333333333334,0.53,0.8,0.5,0.6,0.5,0.59,0.47,0.75,0.7,0.85,0.41,0.23,0.27,0.06,0.35,0.06,0.36,0.36,0.8,0.63,0.3
chr11_67285336,0.34,0.11,0.24,0.13,0.3,0.26,0.19,0.41,0.1,0.23,0.24,0.11,0.23,0.23,0.2,0.28,0.26,0.28,0.32,0.06,0.16,0.59,0.33,0.48,0.45,0.32,0.5,0.2,0.53,0.63,0.43
chr1_5757085,0.5,0.5,0.56,0.5,0.57,0.54,0.63,0.57,0.64,0.5,0.55,0.61,0.55,0.53,0.54,0.69,0.5176666666666667,0.54,0.66,0.64,0.5,0.4,0.49,0.46,0.32,0.41,0.43,0.52,0.45,0.35,0.38
chr3_15257055,0.84,0.88,0.81,0.89,0.84,0.89,0.89,0.91,0.89,0.9,0.85,0.87,0.91,0.89,0.94,0.87,0.81,0.82,0.96,0.89,0.84,0.72,0.83,0.68,0.64,0.76,0.75,0.71,0.75,0.74,0.73
chr4_82946021,0.91,0.8,0.85,0.82,0.91,0.75,0.91,1.0,0.8,0.93,0.82,1.0,0.94,1.0,0.86,0.816551724137931,0.84,0.816551724137931,0.78,0.92,0.73,0.73,0.71,0.76,0.78,0.7,0.68,0.79,0.63,0.66,0.67
chr1_11479791,0.0,0.0,0.0,0.05,0.04,0.03,0.0,0.2,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.18,0.18,0.15,0.09,0.19,0.15,0.13,0.11,0.07,0.19
chr18_79941892,0.85,0.85,0.87,0.85,0.9,0.89,0.85,0.86,0.92,0.87,0.85,0.88,0.87,0.84,0.88,0.83,0.78,0.82,0.85,0.93,0.78,0.54,0.79,0.72,0.72,0.71,0.76,0.75,0.77,0.73,0.68
chr8_144506620,0.8,0.69,0.76,0.81,1.0,0.82,0.77,0.85,0.75,0.7220000000000001,0.91,0.61,0.8,0.68,0.76,0.82,0.7,0.8,0.7,0.72,0.8,0.64,0.67,0.64,0.52,0.56,0.71,0.65,0.51,0.62,0.59
chr11_5928939,1.0,0.9,0.45,0.53,0.85,0.86,0.85,1.0,0.81,0.93,0.92,0.86,0.7074999999999999,0.94,0.45,0.94,0.9,0.7074999999999999,0.92,1.0,0.7074999999999999,0.9,0.86,0.0,0.43,0.14,0.57,0.0,0.12,0.84,0.84
chr13_46462501,0.83,0.78,0.66,0.94,1.0,1.0,0.94,0.88,0.8275862068965516,0.9,0.83,0.92,0.93,0.92,0.8275862068965516,0.96,0.85,0.8,0.94,0.96,0.77,0.73,0.72,0.72,0.8,0.69,0.63,0.74,0.75,0.71,0.7
chr1_2970423,0.77,1.0,0.35,0.78,0.83,0.85,0.9,0.5,0.82,0.8,0.79,0.45,0.89,0.86,0.85,0.03,0.83,0.57,0.61,0.46,0.79,0.45,0.0,0.44,0.32,0.38,0.81,0.78,0.0,0.41,0.33
chr12_108811283,0.9,0.91,0.8003448275862067,0.94,0.72,0.85,0.76,0.92,0.95,0.77,0.92,0.88,0.87,0.89,1.0,0.86,0.8003448275862067,0.92,0.83,0.7,0.8,0.57,0.71,0.65,0.71,0.75,0.77,0.63,0.68,0.63,0.72
chr12_52661922,0.79,0.95,0.86,0.91,0.85,0.92,0.9,0.77,0.85,0.88,0.64,0.94,0.78,0.84,0.76,0.93,1.0,0.82,0.8,0.75,0.71,0.6,0.61,0.62,0.75,0.73,0.63,0.76,0.64,0.62,0.64
chr16_3938833,0.41,0.42,0.08,0.42,0.42,0.19,0.52,0.45,0.44,0.45,0.48,0.37,0.41,0.4,0.48,0.53,0.17,0.61,0.13,0.28,0.5,0.14,0.18,0.13,0.21,0.04,0.2,0.22,0.05,0.3,0.35
chr1_10456281,0.8,0.9,0.7496296296296298,0.82,1.0,0.83,1.0,0.73,0.9,0.8,0.7496296296296298,0.87,0.7496296296296298,0.78,0.75,0.78,0.7496296296296298,0.53,0.82,0.83,0.8,0.73,0.6,0.78,0.59,0.63,0.68,0.62,0.52,0.53,0.62
chr16_19177259,0.84,0.7,0.59,0.91,0.8,0.72,0.82,0.75,0.91,0.82,0.76,0.77,0.87,0.86,0.84,0.88,0.8,0.9,0.75,0.75,0.95,0.69,0.7,0.68,0.64,0.69,0.62,0.67,0.69,0.65,0.67
chr10_14478297,0.4,0.87,0.55,0.75,0.72,0.55,0.42,0.92,1.0,0.85,0.34,0.95,0.73,0.5,0.72,0.5,0.5446666666666666,0.0,0.88,0.96,0.6,0.45,0.9,0.46,0.54,0.0,0.0,0.0,0.41,0.37,0.0
chr12_34342908,0.44,0.48,0.63,0.87,0.51,0.67,0.74,0.61,0.52,0.51,0.65,0.59,0.63,0.47,0.36,0.56,0.44,0.31,0.8,0.67,0.6,0.39,0.36,0.46,0.37,0.19,0.41,0.41,0.22,0.47,0.41
chr11_12093477,0.87,0.86,0.82,0.84,0.82,0.95,0.85,0.97,0.93,0.92,0.88,0.93,0.95,0.83,0.76,1.0,0.93,1.0,0.88,0.97,0.61,0.71,0.77,0.72,0.82,0.7,0.67,0.66,0.75,0.59,0.66
chr7_16399363,0.84,0.81,0.37,0.78,0.83,0.66,0.71,0.6927586206896552,0.56,0.83,0.65,0.66,0.91,0.87,0.75,0.89,0.75,0.6927586206896552,1.0,0.89,0.64,0.57,0.61,0.6,0.4,0.56,0.56,0.71,0.63,0.61,0.44
chr9_76572670,0.83,0.93,0.92,0.91,1.0,0.86,0.94,0.8,0.96,0.89,0.95,0.88,0.96,0.92,0.89,0.86,0.94,0.89,0.82,0.88,1.0,0.76,0.75,0.75,0.78,0.81,0.74,0.83,0.71,0.68,0.68
chr17_47189891,0.35,0.54,0.29,0.26,0.57,0.4,0.43,0.42,0.33,0.32821428571428574,0.33,0.25,0.54,0.32821428571428574,0.47,0.69,0.18,0.25,0.38,0.54,0.32821428571428574,0.32,0.28,0.27,0.14,0.17,0.18,0.2,0.13,0.14,0.14
chr1_37605970,0.66,0.5,0.58,0.73,0.64,0.64,0.5,0.51,0.64,0.69,0.7,0.62,0.68,0.72,0.68,0.66,0.55,0.63,0.46,0.7,0.62,0.5,0.41,0.44,0.38,0.51,0.44,0.53,0.41,0.46,0.38
chr2_11802767,0.88,0.92,0.83,0.86,0.88,0.87,0.88,0.85,0.92,0.85,0.86,0.95,0.84,0.89,0.91,0.91,0.88,0.9,0.75,0.94,0.72,0.64,0.71,0.8,0.75,0.77,0.75,0.7,0.74,0.75,0.72
chr1_1451968,0.93,0.83,0.9,0.68,0.92,0.87,0.76,0.36,0.8,0.93,0.87,0.0,0.9,0.91,0.88,0.9,0.84,0.73,0.9,0.77,0.72,0.53,0.5,0.44,0.42,0.4,0.48,0.89,0.37,0.37,0.82
chr1_8061873,0.68,0.53,0.55,0.63,0.42,0.55,0.51,0.6,0.62,0.58,0.66,0.74,0.69,0.52,0.78,0.51,0.59,0.57,0.57,0.79,0.65,0.49,0.43,0.39,0.48,0.52,0.31,0.41,0.5,0.5,0.41
